,Name,Disaster,Begin Date,End Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,year_only,number_of_days
253,Hurricane Harvey (August 2017),Tropical Cyclone,2017-08-25,2017-08-31,155000.0,89,2017,6
254,Hurricane Irma (September 2017),Tropical Cyclone,2017-09-06,2017-09-12,62000.0,97,2017,6
255,Hurricane Maria (September 2017),Tropical Cyclone,2017-09-19,2017-09-21,111600.0,2981,2017,2
256,"North Dakota, South Dakota and Montana Drought (Spring-Fall 2017)",Drought,2017-03-01,2017-12-31,3150.0,0,2017,305
257,"Western Wildfires, California Firestorm (Summer-Fall 2017)",Wildfire,2017-06-01,2017-12-31,22506.3,54,2017,213
258,Central and Eastern Winter Storm (January 2018),Winter Storm,2018-01-03,2018-01-05,1293.4,22,2018,2
259,Northeast Winter Storm (March 2018),Winter Storm,2018-03-01,2018-03-03,2698.7,9,2018,2
260,Southeastern Tornadoes and Severe Weather (March 2018),Severe Storm,2018-03-18,2018-03-21,1786.1,0,2018,3
261,Southern and Eastern Tornadoes and Severe Weather (April 2018),Severe Storm,2018-04-13,2018-04-16,1621.4,3,2018,3
262,Central and Northeast Severe Weather (May 2018),Severe Storm,2018-05-01,2018-05-04,1710.0,0,2018,3
263,Central and Eastern Severe Weather (May 2018),Severe Storm,2018-05-13,2018-05-15,1685.1,5,2018,2
264,Texas Hail Storm (June 2018),Severe Storm,2018-06-06,2018-06-06,1586.0,0,2018,0
265,Colorado Hail Storm (June 2018),Severe Storm,2018-06-13,2018-06-13,1165.1,0,2018,0
266,Colorado Hail Storm (June 2018),Severe Storm,2018-06-18,2018-06-19,2712.1,0,2018,1
267,Central and Eastern Tornadoes and Severe Weather (July 2018),Severe Storm,2018-07-19,2018-07-22,1933.7,0,2018,3
268,Mountain West Severe Weather (July 2018),Severe Storm,2018-07-26,2018-07-29,1038.2,0,2018,3
269,Rockies and Plains Hail Storms (August 2018),Severe Storm,2018-08-06,2018-08-07,1250.5,0,2018,1
270,Hurricane Florence (September 2018),Tropical Cyclone,2018-09-13,2018-09-16,29280.0,53,2018,3
271,Hurricane Michael (October 2018),Tropical Cyclone,2018-10-10,2018-10-11,30219.8,49,2018,1
272,Southwest/Southern Plains Drought (Summer-Fall 2018),Drought,2018-06-01,2018-12-30,3707.6,0,2018,212
273,"Western Wildfires, California Firestorm (Summer-Fall 2018)",Wildfire,2018-06-01,2018-12-31,29280.0,106,2018,213
274,"Southeast, Ohio Valley and Northeast Severe Weather (February 2019)",Severe Storm,2019-02-23,2019-02-25,1497.4,2,2019,2
275,Texas Hail Storm (March 2019),Severe Storm,2019-03-22,2019-03-24,1857.4,0,2019,2
276,Missouri River and North Central Flooding (March 2019),Flooding,2019-03-14,2019-03-31,13087.0,3,2019,17
277,Southern and Eastern Tornadoes and Severe Weather (April 2019),Severe Storm,2019-04-13,2019-04-14,1502.4,7,2019,1
278,South and Southeast Severe Weather (May 2019),Severe Storm,2019-05-07,2019-05-13,1816.8,0,2019,6
279,Central Severe Weather (May 2019),Severe Storm,2019-05-16,2019-05-18,1167.6,0,2019,2
280,"Rockies, Central and Northeast Tornadoes and Severe Weather (May 2019)",Severe Storm,2019-05-26,2019-05-29,5517.6,3,2019,3
281,Arkansas River Flooding (June 2019),Flooding,2019-05-20,2019-06-14,3630.0,5,2019,25
282,Colorado Hail Storms (July 2019),Severe Storm,2019-07-04,2019-07-05,1209.6,0,2019,1
283,"Mississippi River, Midwest and Southern Flooding (July 2019)",Flooding,2019-03-15,2019-07-31,7464.7,4,2019,138
284,Hurricane Dorian (September 2019),Tropical Cyclone,2019-08-28,2019-09-06,1932.0,10,2019,9
285,Tropical Storm Imelda (September 2019),Tropical Cyclone,2019-09-17,2019-09-21,6000.0,5,2019,4
286,Texas Tornadoes and Central Severe Weather (October 2019),Severe Storm,2019-10-20,2019-10-20,2044.4,2,2019,0
287,California and Alaska Wildfires (Summer-Fall 2019),Wildfire,2019-06-01,2019-11-30,5400.0,3,2019,182
288,Southeast Tornadoes and Northern Storms and Flooding (January 2020),Severe Storm,2020-01-10,2020-01-12,1367.6,10,2020,2
289,"South, East and Northeast Severe Weather (February 2020)",Severe Storm,2020-02-05,2020-02-07,1495.0,3,2020,2
290,Tennessee Tornadoes and Southeast Severe Weather (March 2020),Severe Storm,2020-03-02,2020-03-04,2779.9,25,2020,2
291,Midwest and Ohio Valley Severe Weather (March 2020),Severe Storm,2020-03-27,2020-03-28,3044.3,0,2020,1
292,North Central and Ohio Valley Hail Storms and Severe Weather (April 2020),Severe Storm,2020-04-07,2020-04-08,3457.2,0,2020,1
293,Southeast and Eastern Tornado Outbreak (April 2020),Severe Storm,2020-04-12,2020-04-13,4132.8,35,2020,1
294,Southern Severe Weather (April 2020),Severe Storm,2020-04-21,2020-04-23,1620.0,3,2020,2
295,"Central, Southern and Eastern Severe Weather (April 2020)",Severe Storm,2020-04-27,2020-04-30,1232.4,1,2020,3
296,Central and Eastern Severe Weather (May 2020),Severe Storm,2020-05-03,2020-05-05,2535.6,2,2020,2
297,"South, Central and Eastern Severe Weather (May 2020)",Severe Storm,2020-05-20,2020-05-23,1900.8,2,2020,3
298,South Texas Hail Storms (May 2020),Severe Storm,2020-05-27,2020-05-27,1680.0,0,2020,0
299,Central Severe Weather (July 2020),Severe Storm,2020-07-10,2020-07-11,1423.4,0,2020,1
300,Hurricane Hanna (July 2020),Tropical Cyclone,2020-07-25,2020-07-26,1268.5,0,2020,1
301,Hurricane Isaias (August 2020),Tropical Cyclone,2020-08-03,2020-08-04,5613.1,16,2020,1
302,Central Severe Weather - Derecho (August 2020),Severe Storm,2020-08-10,2020-08-10,13122.2,4,2020,0
303,Hurricane Laura (August 2020),Tropical Cyclone,2020-08-27,2020-08-28,27393.7,42,2020,1
304,Hurricane Sally (September 2020),Tropical Cyclone,2020-09-15,2020-09-17,8583.2,5,2020,2
305,Hurricane Delta (October 2020),Tropical Cyclone,2020-10-09,2020-10-11,3383.1,5,2020,2
306,Hurricane Zeta (October 2020),Tropical Cyclone,2020-10-28,2020-10-29,5135.3,6,2020,1
307,Tropical Storm Eta (November 2020),Tropical Cyclone,2020-11-08,2020-11-12,1722.8,12,2020,4
308,Western/Central Drought and Heat Wave (Summer-Fall 2020),Drought,2020-06-01,2020-12-30,5304.1,45,2020,212
309,"Western Wildfires - California, Oregon, Washington Firestorms (Fall 2020)",Wildfire,2020-08-01,2020-12-30,19411.0,46,2020,151
310,California Flooding and Severe Weather (January 2021),Flooding,2021-01-24,2021-01-29,1281.2,2,2021,5
311,"Northwest, Central, Eastern Winter Storm and Cold Wave (February 2021)",Winter Storm,2021-02-10,2021-02-19,26543.0,262,2021,9
312,Southeast Tornadoes and Severe Weather (March 2021),Severe Storm,2021-03-24,2021-03-25,1945.4,6,2021,1
313,Eastern Severe Weather (March 2021),Severe Storm,2021-03-27,2021-03-28,1561.5,8,2021,1
314,Texas Hail Storms (April 2021),Severe Storm,2021-04-12,2021-04-15,1711.0,0,2021,3
315,Texas and Oklahoma Severe Weather (April 2021),Severe Storm,2021-04-27,2021-04-28,3652.8,0,2021,1
316,Southern Tornadoes and Southeast Severe Weather (May 2021),Severe Storm,2021-05-02,2021-05-04,1441.0,4,2021,2
317,Louisiana Flooding (May 2021),Flooding,2021-05-17,2021-05-18,1530.1,5,2021,1
318,Ohio Valley Hail Storms (June 2021),Severe Storm,2021-06-17,2021-06-18,1929.2,0,2021,1
319,Central Severe Storms (June 2021),Severe Storm,2021-06-24,2021-06-26,1416.0,0,2021,2
320,Tropical Storm Elsa (July 2021),Tropical Cyclone,2021-07-07,2021-07-09,1358.6,1,2021,2
321,Central Severe Storms (July 2021),Severe Storm,2021-07-08,2021-07-11,1209.6,0,2021,3
322,North Central Severe Weather (August 2021),Severe Storm,2021-08-10,2021-08-13,1438.1,2,2021,3
323,Tropical Storm Fred (August 2021),Tropical Cyclone,2021-08-16,2021-08-18,1430.2,7,2021,2
324,Hurricane Ida (August 2021),Tropical Cyclone,2021-08-29,2021-09-01,82400.7,96,2021,3
325,Hurricane Nicholas (September 2021),Tropical Cyclone,2021-09-14,2021-09-18,1137.9,0,2021,4
326,"Southeast, Central Tornado Outbreak (December 2021)",Severe Storm,2021-12-10,2021-12-10,4306.5,93,2021,0
327,Midwest Derecho and Tornado Outbreak (December 2021),Severe Storm,2021-12-15,2021-12-15,1960.2,1,2021,0
328,Western Wildfires (2021),Wildfire,2021-06-01,2021-12-31,11752.1,8,2021,213
329,Western Drought and Heat Wave (2021),Drought,2021-01-01,2021-12-31,9864.5,229,2021,364
330,Texas Hail Storms (February 2022),Severe Storm,2022-02-21,2022-02-22,1088.6,0,2022,1
331,Southern Tornado Outbreak (March 2022),Severe Storm,2022-03-30,2022-03-30,1344.1,2,2022,0
332,Southeast Tornado Outbreak (April 2022),Severe Storm,2022-04-04,2022-04-06,1501.9,3,2022,2
333,Southern Severe Weather (April 2022),Severe Storm,2022-04-11,2022-04-13,2835.5,1,2022,2
334,Southern and Central Severe Weather (May 2022),Severe Storm,2022-05-01,2022-05-03,1196.1,1,2022,2
335,North Central Hail Storms (May 2022),Severe Storm,2022-05-09,2022-05-09,2289.6,0,2022,0
336,North Central Severe Weather (May 2022),Severe Storm,2022-05-11,2022-05-12,2868.3,1,2022,1
337,North Central Hail Storms (May 2022),Severe Storm,2022-05-19,2022-05-19,2552.8,0,2022,0
338,Central Severe Weather (June 2022),Severe Storm,2022-06-07,2022-06-08,1987.4,0,2022,1
339,Central Derecho (June 2022),Severe Storm,2022-06-13,2022-06-13,3322.9,1,2022,0
340,North Central and Eastern Severe Weather (July 2022),Severe Storm,2022-07-22,2022-07-24,1393.6,1,2022,2
341,Kentucky and Missouri Flooding (July 2022),Flooding,2022-07-26,2022-07-28,1523.6,42,2022,2
342,Hurricane Fiona (September 2022),Tropical Cyclone,2022-09-17,2022-09-18,2610.4,25,2022,1
343,Hurricane Ian (September 2022),Tropical Cyclone,2022-09-28,2022-09-30,116272.0,152,2022,2
344,Hurricane Nicole (November 2022),Tropical Cyclone,2022-11-10,2022-11-11,1050.6,5,2022,1
345,Western Wildfires (Spring-Fall 2022),Wildfire,2022-04-01,2022-11-30,3234.4,17,2022,243
346,Central and Eastern Winter Storm and Cold Wave (December 2022),Winter Storm,2022-12-21,2022-12-26,8698.6,87,2022,5
347,Western/Central Drought and Heat Wave (2022),Drought,2022-01-01,2022-12-31,22852.0,136,2022,364
348,Northeastern Winter Storm / Cold Wave (February 2023),Winter Storm,2023-02-02,2023-02-05,1786.1,1,2023,3
349,Southern and Eastern Severe Weather (March 2023),Severe Storm,2023-03-02,2023-03-03,5993.5,13,2023,1
350,California Flooding (December 2022 - March 2023),Flooding,2022-12-26,2023-03-19,4635.0,22,2022,83
351,Southern and Eastern Severe Weather (April 2023),Severe Storm,2023-03-24,2023-03-26,2871.2,23,2023,2
352,Central Tornado Outbreak and Eastern Severe Weather (March 2023),Severe Storm,2023-03-31,2023-04-01,5740.4,33,2023,1
353,Central and Eastern Severe Weather (April 2023),Severe Storm,2023-04-04,2023-04-06,2871.5,5,2023,2
354,Fort Lauderdale Flash Flood (April 2023),Flooding,2023-04-12,2023-04-13,1111.0,0,2023,1
355,Central and Southern Severe Weather (April 2023),Severe Storm,2023-04-15,2023-04-15,1361.7,0,2023,0
356,Central Severe Weather (April 2023),Severe Storm,2023-04-19,2023-04-20,3019.2,1,2023,1
357,Southern Severe Weather (April 2023),Severe Storm,2023-04-25,2023-04-27,1333.3,0,2023,2
358,Central Severe Weather (May 2023),Severe Storm,2023-05-06,2023-05-08,2158.6,1,2023,2
359,Central and Eastern Tornadoes and Hail Storms (May 2023),Severe Storm,2023-05-10,2023-05-12,3460.4,1,2023,2
360,Texas Hail Storms (May 2023),Severe Storm,2023-05-18,2023-05-19,1641.3,0,2023,1
361,Typhoon Mawar (May 2023),Tropical Cyclone,2023-05-24,2023-05-25,4292.5,2,2023,1
362,Southern Severe Weather (June 2023),Severe Storm,2023-06-11,2023-06-14,4072.6,0,2023,3
363,Central and Southern Severe Weather (June 2023),Severe Storm,2023-06-15,2023-06-18,3805.8,5,2023,3
364,Rockies Hail Storms and Central and Eastern Severe Weather (June 2023),Severe Storm,2023-06-21,2023-06-26,5296.5,8,2023,5
365,Central Severe Weather (June 2023),Severe Storm,2023-06-28,2023-07-02,1938.4,3,2023,4
366,Northeastern Flooding and North Central Severe Weather (July 2023),Flooding,2023-07-09,2023-07-15,2187.1,10,2023,6
367,North Central and Southeastern Severe Weather (July 2023),Severe Storm,2023-07-19,2023-07-21,1850.3,1,2023,2
368,North Central and Eastern Severe Weather (July 2023),Severe Storm,2023-07-28,2023-07-29,1496.8,2,2023,1
369,Hawaii Firestorm (August 2023),Wildfire,2023-08-08,2023-08-08,5555.0,100,2023,0
370,Northeastern and Eastern Severe Weather (August 2023),Severe Storm,2023-08-05,2023-08-08,1647.6,4,2023,3
371,Minnesota Hail Storms (August 2023),Severe Storm,2023-08-11,2023-08-11,1792.8,0,2023,0
372,Hurricane Idalia (August 2023),Tropical Cyclone,2023-08-29,2023-08-31,3490.6,5,2023,2
373,Southern Hail Storms (September 2023),Severe Storm,2023-09-23,2023-09-24,1645.0,0,2023,1
374,Southern/Midwestern Drought and Heatwave (Spring-Fall 2023),Drought,2023-04-01,2023-09-30,14517.0,247,2023,182
375,East Coast Storm and Flooding (December 2023),Flooding,2023-12-16,2023-12-18,1276.0,5,2023,2
